user,contributions,repositories,primary_language,monthly_contributions,contribution_types
vitordiniz25,521,63,TypeScript,"{'2023-06': 73, '2023-07': 40, '2023-08': 26, '2023-09': 21, '2023-10': 58, '2023-11': 55, '2023-12': 48, '2024-01': 3, '2024-02': 0, '2024-03': 87, '2024-04': 45, '2024-05': 65, '2024-06': 0}","{'commits': 248, 'pull_requests': 10, 'issues': 4, 'reviews': 30}"
Beatrizvn,275,22,C++,"{'2023-06': 151, '2023-07': 22, '2023-08': 3, '2023-09': 52, '2023-10': 28, '2023-11': 11, '2023-12': 6, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 2, '2024-05': 0, '2024-06': 0}","{'commits': 265, 'pull_requests': 6, 'issues': 0, 'reviews': 2}"
FabricioDeQueiroz,62,15,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 4, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 8, '2024-03': 12, '2024-04': 38, '2024-05': 0, '2024-06': 0}","{'commits': 23, 'pull_requests': 6, 'issues': 0, 'reviews': 5}"
Raphides,28,20,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 13, '2023-10': 1, '2023-11': 3, '2023-12': 4, '2024-01': 2, '2024-02': 5, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 9, 'pull_requests': 1, 'issues': 1, 'reviews': 0}"
Laisczt,74,7,C#,"{'2023-06': 3, '2023-07': 2, '2023-08': 8, '2023-09': 0, '2023-10': 4, '2023-11': 3, '2023-12': 5, '2024-01': 25, '2024-02': 4, '2024-03': 0, '2024-04': 0, '2024-05': 20, '2024-06': 0}","{'commits': 52, 'pull_requests': 21, 'issues': 0, 'reviews': 0}"
930913,1,13,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 1, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 1, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
brunna-martins,146,29,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 1, '2023-09': 75, '2023-10': 27, '2023-11': 13, '2023-12': 24, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 5, '2024-06': 0}","{'commits': 110, 'pull_requests': 16, 'issues': 8, 'reviews': 6}"
analuizargds,295,16,HTML,"{'2023-06': 21, '2023-07': 8, '2023-08': 9, '2023-09': 40, '2023-10': 30, '2023-11': 107, '2023-12': 66, '2024-01': 1, '2024-02': 0, '2024-03': 1, '2024-04': 11, '2024-05': 1, '2024-06': 0}","{'commits': 177, 'pull_requests': 23, 'issues': 24, 'reviews': 17}"
Rafaelltm,129,58,JavaScript,"{'2023-06': 19, '2023-07': 6, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 23, '2023-12': 36, '2024-01': 6, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 39, '2024-06': 0}","{'commits': 42, 'pull_requests': 14, 'issues': 0, 'reviews': 5}"
yandrade1305,186,44,Java,"{'2023-06': 49, '2023-07': 25, '2023-08': 0, '2023-09': 0, '2023-10': 19, '2023-11': 9, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 37, '2024-05': 47, '2024-06': 0}","{'commits': 142, 'pull_requests': 22, 'issues': 8, 'reviews': 12}"
FHansen98,109,12,Python,"{'2023-06': 1, '2023-07': 8, '2023-08': 0, '2023-09': 4, '2023-10': 17, '2023-11': 20, '2023-12': 41, '2024-01': 4, '2024-02': 0, '2024-03': 8, '2024-04': 6, '2024-05': 0, '2024-06': 0}","{'commits': 97, 'pull_requests': 4, 'issues': 1, 'reviews': 0}"
artmarmocathala,22,4,Java,"{'2023-06': 2, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 1, '2023-11': 2, '2023-12': 9, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 6, '2024-05': 0, '2024-06': 0}","{'commits': 15, 'pull_requests': 2, 'issues': 1, 'reviews': 0}"
zpeniel09,211,23,C,"{'2023-06': 43, '2023-07': 162, '2023-08': 1, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 2, '2024-01': 0, '2024-02': 1, '2024-03': 2, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 184, 'pull_requests': 4, 'issues': 0, 'reviews': 23}"
rytilahti,864,45,Python,"{'2023-06': 13, '2023-07': 35, '2023-08': 39, '2023-09': 21, '2023-10': 55, '2023-11': 44, '2023-12': 64, '2024-01': 171, '2024-02': 125, '2024-03': 133, '2024-04': 72, '2024-05': 92, '2024-06': 0}","{'commits': 286, 'pull_requests': 234, 'issues': 37, 'reviews': 287}"
luanatorress,132,10,TypeScript,"{'2023-06': 33, '2023-07': 11, '2023-08': 0, '2023-09': 7, '2023-10': 20, '2023-11': 28, '2023-12': 29, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 4, '2024-05': 0, '2024-06': 0}","{'commits': 119, 'pull_requests': 6, 'issues': 4, 'reviews': 2}"
