user,contributions,repositories,primary_language,monthly_contributions,contribution_types
lorranyoliveira,159,32,JavaScript,"{'2023-06': 29, '2023-07': 23, '2023-08': 2, '2023-09': 14, '2023-10': 62, '2023-11': 28, '2023-12': 1, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 141, 'pull_requests': 15, 'issues': 0, 'reviews': 0}"
flyerjohn,236,55,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 5, '2023-09': 7, '2023-10': 1, '2023-11': 0, '2023-12': 11, '2024-01': 6, '2024-02': 124, '2024-03': 60, '2024-04': 16, '2024-05': 6, '2024-06': 0}","{'commits': 14, 'pull_requests': 1, 'issues': 0, 'reviews': 0}"
suzaneduarte,457,19,TypeScript,"{'2023-06': 43, '2023-07': 39, '2023-08': 11, '2023-09': 41, '2023-10': 56, '2023-11': 88, '2023-12': 135, '2024-01': 4, '2024-02': 0, '2024-03': 13, '2024-04': 21, '2024-05': 6, '2024-06': 0}","{'commits': 354, 'pull_requests': 13, 'issues': 63, 'reviews': 19}"
gabrielsarcan,28,7,Java,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 13, '2024-01': 15, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 26, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
igor-ribeir0,18,27,JavaScript,"{'2023-06': 13, '2023-07': 5, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 15, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
italovinicius18,105,73,Python,"{'2023-06': 33, '2023-07': 31, '2023-08': 1, '2023-09': 20, '2023-10': 0, '2023-11': 2, '2023-12': 12, '2024-01': 0, '2024-02': 0, '2024-03': 6, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 61, 'pull_requests': 20, 'issues': 6, 'reviews': 6}"
GitHub-Action,0,0,N/A,{},{}
caio-lelis,411,24,Jupyter Notebook,"{'2023-06': 3, '2023-07': 20, '2023-08': 29, '2023-09': 44, '2023-10': 117, '2023-11': 93, '2023-12': 44, '2024-01': 19, '2024-02': 4, '2024-03': 3, '2024-04': 29, '2024-05': 6, '2024-06': 0}","{'commits': 352, 'pull_requests': 32, 'issues': 16, 'reviews': 0}"
AntonioRangelC,357,32,Python,"{'2023-06': 34, '2023-07': 23, '2023-08': 9, '2023-09': 12, '2023-10': 62, '2023-11': 83, '2023-12': 81, '2024-01': 7, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 46, '2024-06': 0}","{'commits': 261, 'pull_requests': 19, 'issues': 35, 'reviews': 32}"
EhOBruno,122,16,JavaScript,"{'2023-06': 2, '2023-07': 1, '2023-08': 13, '2023-09': 2, '2023-10': 22, '2023-11': 21, '2023-12': 44, '2024-01': 3, '2024-02': 0, '2024-03': 10, '2024-04': 4, '2024-05': 0, '2024-06': 0}","{'commits': 109, 'pull_requests': 7, 'issues': 0, 'reviews': 1}"
NilvanPeres,86,48,Python,"{'2023-06': 21, '2023-07': 15, '2023-08': 42, '2023-09': 4, '2023-10': 0, '2023-11': 0, '2023-12': 4, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 81, 'pull_requests': 2, 'issues': 0, 'reviews': 0}"
yudi-azvd,806,92,JavaScript,"{'2023-06': 164, '2023-07': 102, '2023-08': 78, '2023-09': 77, '2023-10': 71, '2023-11': 48, '2023-12': 60, '2024-01': 11, '2024-02': 26, '2024-03': 62, '2024-04': 51, '2024-05': 56, '2024-06': 0}","{'commits': 183, 'pull_requests': 33, 'issues': 44, 'reviews': 23}"
pedrobarbosaocb,564,57,C#,"{'2023-06': 51, '2023-07': 53, '2023-08': 130, '2023-09': 69, '2023-10': 55, '2023-11': 29, '2023-12': 19, '2024-01': 8, '2024-02': 42, '2024-03': 8, '2024-04': 25, '2024-05': 75, '2024-06': 0}","{'commits': 199, 'pull_requests': 41, 'issues': 15, 'reviews': 20}"
dermotduffy,171,28,Python,"{'2023-06': 40, '2023-07': 7, '2023-08': 7, '2023-09': 6, '2023-10': 37, '2023-11': 0, '2023-12': 0, '2024-01': 6, '2024-02': 17, '2024-03': 18, '2024-04': 26, '2024-05': 7, '2024-06': 0}","{'commits': 59, 'pull_requests': 80, 'issues': 17, 'reviews': 14}"
DenysRogeres,259,76,JavaScript,"{'2023-06': 118, '2023-07': 124, '2023-08': 6, '2023-09': 0, '2023-10': 2, '2023-11': 8, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 172, 'pull_requests': 22, 'issues': 2, 'reviews': 35}"
MillenaQueiroz,268,20,JavaScript,"{'2023-06': 59, '2023-07': 59, '2023-08': 0, '2023-09': 13, '2023-10': 23, '2023-11': 58, '2023-12': 56, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 210, 'pull_requests': 25, 'issues': 15, 'reviews': 18}"
JPedroCh,205,33,JavaScript,"{'2023-06': 69, '2023-07': 89, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 47, '2024-06': 0}","{'commits': 122, 'pull_requests': 38, 'issues': 3, 'reviews': 39}"
joao15victor08,296,29,Python,"{'2023-06': 35, '2023-07': 20, '2023-08': 3, '2023-09': 2, '2023-10': 74, '2023-11': 106, '2023-12': 52, '2024-01': 0, '2024-02': 1, '2024-03': 2, '2024-04': 0, '2024-05': 1, '2024-06': 0}","{'commits': 170, 'pull_requests': 25, 'issues': 31, 'reviews': 34}"
GabrielMS00,87,4,Java,"{'2023-06': 36, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 19, '2024-04': 17, '2024-05': 15, '2024-06': 0}","{'commits': 39, 'pull_requests': 9, 'issues': 0, 'reviews': 0}"
RenierM26,235,15,Python,"{'2023-06': 80, '2023-07': 110, '2023-08': 21, '2023-09': 0, '2023-10': 4, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 1, '2024-03': 0, '2024-04': 2, '2024-05': 17, '2024-06': 0}","{'commits': 171, 'pull_requests': 55, 'issues': 3, 'reviews': 6}"
bbr111,33,11,Python,"{'2023-06': 4, '2023-07': 0, '2023-08': 2, '2023-09': 11, '2023-10': 1, '2023-11': 1, '2023-12': 0, '2024-01': 4, '2024-02': 3, '2024-03': 2, '2024-04': 5, '2024-05': 0, '2024-06': 0}","{'commits': 13, 'pull_requests': 4, 'issues': 6, 'reviews': 0}"
DanielRogs,222,23,JavaScript,"{'2023-06': 6, '2023-07': 13, '2023-08': 0, '2023-09': 9, '2023-10': 30, '2023-11': 31, '2023-12': 30, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 29, '2024-05': 74, '2024-06': 0}","{'commits': 161, 'pull_requests': 20, 'issues': 25, 'reviews': 9}"
dansousamelo,229,59,TypeScript,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 31, '2023-12': 0, '2024-01': 6, '2024-02': 84, '2024-03': 59, '2024-04': 4, '2024-05': 45, '2024-06': 0}","{'commits': 215, 'pull_requests': 7, 'issues': 6, 'reviews': 0}"
Dyetrix,38,3,Jupyter Notebook,"{'2023-06': 0, '2023-07': 3, '2023-08': 0, '2023-09': 2, '2023-10': 1, '2023-11': 9, '2023-12': 22, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 33, 'pull_requests': 4, 'issues': 0, 'reviews': 0}"
Tiago1604,214,13,JavaScript,"{'2023-06': 15, '2023-07': 10, '2023-08': 0, '2023-09': 43, '2023-10': 38, '2023-11': 28, '2023-12': 14, '2024-01': 0, '2024-02': 10, '2024-03': 13, '2024-04': 35, '2024-05': 8, '2024-06': 0}","{'commits': 185, 'pull_requests': 4, 'issues': 14, 'reviews': 8}"
FilhoDoan,499,20,Python,"{'2023-06': 25, '2023-07': 14, '2023-08': 0, '2023-09': 64, '2023-10': 172, '2023-11': 99, '2023-12': 65, '2024-01': 23, '2024-02': 11, '2024-03': 0, '2024-04': 25, '2024-05': 1, '2024-06': 0}","{'commits': 349, 'pull_requests': 40, 'issues': 62, 'reviews': 0}"
LucasOliveiraDiasMarquesFerreira,323,18,HTML,"{'2023-06': 14, '2023-07': 3, '2023-08': 0, '2023-09': 61, '2023-10': 70, '2023-11': 127, '2023-12': 37, '2024-01': 0, '2024-02': 0, '2024-03': 5, '2024-04': 5, '2024-05': 1, '2024-06': 0}","{'commits': 315, 'pull_requests': 3, 'issues': 0, 'reviews': 0}"
caiolamego,69,11,JavaScript,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 15, '2023-10': 15, '2023-11': 11, '2023-12': 13, '2024-01': 4, '2024-02': 0, '2024-03': 4, '2024-04': 5, '2024-05': 2, '2024-06': 0}","{'commits': 59, 'pull_requests': 1, 'issues': 1, 'reviews': 0}"
LucasAvelar2711,25,5,C,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 9, '2024-05': 16, '2024-06': 0}","{'commits': 24, 'pull_requests': 0, 'issues': 0, 'reviews': 1}"
viniciussaturnino,359,74,JavaScript,"{'2023-06': 72, '2023-07': 23, '2023-08': 11, '2023-09': 29, '2023-10': 48, '2023-11': 44, '2023-12': 37, '2024-01': 35, '2024-02': 7, '2024-03': 0, '2024-04': 53, '2024-05': 0, '2024-06': 0}","{'commits': 106, 'pull_requests': 1, 'issues': 0, 'reviews': 0}"
Stonos,3,18,C#,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 1, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 1, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 1, 'pull_requests': 0, 'issues': 2, 'reviews': 0}"
AdneMoretti,224,49,Python,"{'2023-06': 34, '2023-07': 46, '2023-08': 0, '2023-09': 36, '2023-10': 22, '2023-11': 26, '2023-12': 18, '2024-01': 0, '2024-02': 1, '2024-03': 13, '2024-04': 20, '2024-05': 8, '2024-06': 0}","{'commits': 161, 'pull_requests': 4, 'issues': 8, 'reviews': 0}"
AmandaaMoura,317,15,JavaScript,"{'2023-06': 172, '2023-07': 0, '2023-08': 1, '2023-09': 22, '2023-10': 36, '2023-11': 42, '2023-12': 41, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 2, '2024-06': 0}","{'commits': 286, 'pull_requests': 7, 'issues': 7, 'reviews': 6}"
henriqtorresl,635,33,HTML,"{'2023-06': 37, '2023-07': 48, '2023-08': 28, '2023-09': 42, '2023-10': 41, '2023-11': 53, '2023-12': 140, '2024-01': 7, '2024-02': 114, '2024-03': 53, '2024-04': 28, '2024-05': 44, '2024-06': 0}","{'commits': 609, 'pull_requests': 4, 'issues': 2, 'reviews': 5}"
RochaCarla,71,36,HTML,"{'2023-06': 3, '2023-07': 0, '2023-08': 3, '2023-09': 23, '2023-10': 5, '2023-11': 8, '2023-12': 6, '2024-01': 0, '2024-02': 2, '2024-03': 17, '2024-04': 0, '2024-05': 4, '2024-06': 0}","{'commits': 40, 'pull_requests': 1, 'issues': 11, 'reviews': 4}"
fillipeb50,2,2,Java,"{'2023-06': 2, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 2, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
arthurmlv,227,12,Java,"{'2023-06': 66, '2023-07': 27, '2023-08': 0, '2023-09': 31, '2023-10': 32, '2023-11': 33, '2023-12': 21, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 5, '2024-05': 12, '2024-06': 0}","{'commits': 195, 'pull_requests': 23, 'issues': 0, 'reviews': 9}"
thiagorfreitas,54,13,Java,"{'2023-06': 9, '2023-07': 10, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 14, '2023-12': 1, '2024-01': 0, '2024-02': 0, '2024-03': 3, '2024-04': 5, '2024-05': 12, '2024-06': 0}","{'commits': 41, 'pull_requests': 1, 'issues': 4, 'reviews': 6}"
verabelucia,5,13,Java,"{'2023-06': 0, '2023-07': 0, '2023-08': 2, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 2, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 3, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
mkmer,453,16,Python,"{'2023-06': 18, '2023-07': 26, '2023-08': 35, '2023-09': 33, '2023-10': 34, '2023-11': 73, '2023-12': 37, '2024-01': 103, '2024-02': 29, '2024-03': 11, '2024-04': 39, '2024-05': 15, '2024-06': 0}","{'commits': 263, 'pull_requests': 135, 'issues': 14, 'reviews': 33}"
sergiosacj,402,49,Python,"{'2023-06': 140, '2023-07': 260, '2023-08': 0, '2023-09': 2, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 359, 'pull_requests': 18, 'issues': 0, 'reviews': 16}"
HenriPucci,74,17,Python,"{'2023-06': 35, '2023-07': 4, '2023-08': 2, '2023-09': 5, '2023-10': 8, '2023-11': 8, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 12, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 35, 'pull_requests': 3, 'issues': 0, 'reviews': 3}"
14luke08,9,1,TypeScript,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 4, '2023-12': 5, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 9, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
sebazac332,261,13,Python,"{'2023-06': 1, '2023-07': 0, '2023-08': 0, '2023-09': 65, '2023-10': 94, '2023-11': 41, '2023-12': 34, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 24, '2024-05': 1, '2024-06': 0}","{'commits': 233, 'pull_requests': 17, 'issues': 0, 'reviews': 10}"
rmchaim,6,2,N/A,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 6, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 5, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
gabrielapivetta,105,34,Python,"{'2023-06': 40, '2023-07': 8, '2023-08': 0, '2023-09': 0, '2023-10': 12, '2023-11': 3, '2023-12': 2, '2024-01': 9, '2024-02': 6, '2024-03': 14, '2024-04': 7, '2024-05': 4, '2024-06': 0}","{'commits': 17, 'pull_requests': 6, 'issues': 0, 'reviews': 0}"
paulohborba,39,11,Java,"{'2023-06': 9, '2023-07': 1, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 4, '2024-04': 8, '2024-05': 17, '2024-06': 0}","{'commits': 30, 'pull_requests': 8, 'issues': 0, 'reviews': 0}"
AmandaNbr,113,30,Python,"{'2023-06': 46, '2023-07': 1, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 2, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 63, '2024-05': 0, '2024-06': 0}","{'commits': 62, 'pull_requests': 2, 'issues': 37, 'reviews': 9}"
kleidson-alves,0,46,TypeScript,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
frenck,10445,135,Python,"{'2023-06': 1010, '2023-07': 1045, '2023-08': 677, '2023-09': 596, '2023-10': 1337, '2023-11': 824, '2023-12': 860, '2024-01': 1070, '2024-02': 697, '2024-03': 897, '2024-04': 557, '2024-05': 872, '2024-06': 3}","{'commits': 399, 'pull_requests': 1029, 'issues': 21, 'reviews': 7342}"
AguionStryke,37,2,Java,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 3, '2023-11': 25, '2023-12': 8, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 34, 'pull_requests': 2, 'issues': 0, 'reviews': 0}"
zjosuez,422,35,Java,"{'2023-06': 13, '2023-07': 8, '2023-08': 12, '2023-09': 18, '2023-10': 6, '2023-11': 5, '2023-12': 23, '2024-01': 6, '2024-02': 73, '2024-03': 81, '2024-04': 33, '2024-05': 144, '2024-06': 0}","{'commits': 118, 'pull_requests': 7, 'issues': 0, 'reviews': 7}"
Maryyscreuza,314,10,HTML,"{'2023-06': 6, '2023-07': 5, '2023-08': 0, '2023-09': 79, '2023-10': 37, '2023-11': 115, '2023-12': 70, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 2, '2024-05': 0, '2024-06': 0}","{'commits': 276, 'pull_requests': 23, 'issues': 12, 'reviews': 0}"
caeslucio,8,17,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 1, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 7, '2024-05': 0, '2024-06': 0}","{'commits': 7, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
raqueleucaria,220,26,Python,"{'2023-06': 2, '2023-07': 3, '2023-08': 104, '2023-09': 12, '2023-10': 37, '2023-11': 27, '2023-12': 15, '2024-01': 1, '2024-02': 0, '2024-03': 0, '2024-04': 19, '2024-05': 0, '2024-06': 0}","{'commits': 101, 'pull_requests': 29, 'issues': 72, 'reviews': 13}"
izabellaalves,917,38,HTML,"{'2023-06': 62, '2023-07': 45, '2023-08': 15, '2023-09': 125, '2023-10': 204, '2023-11': 223, '2023-12': 116, '2024-01': 5, '2024-02': 22, '2024-03': 24, '2024-04': 42, '2024-05': 34, '2024-06': 0}","{'commits': 724, 'pull_requests': 13, 'issues': 44, 'reviews': 3}"
cgarwood,310,51,JavaScript,"{'2023-06': 10, '2023-07': 17, '2023-08': 101, '2023-09': 28, '2023-10': 17, '2023-11': 25, '2023-12': 20, '2024-01': 36, '2024-02': 15, '2024-03': 29, '2024-04': 11, '2024-05': 1, '2024-06': 0}","{'commits': 135, 'pull_requests': 72, 'issues': 13, 'reviews': 89}"
arthur-augusto,192,7,Python,"{'2023-06': 32, '2023-07': 14, '2023-08': 0, '2023-09': 4, '2023-10': 25, '2023-11': 2, '2023-12': 4, '2024-01': 36, '2024-02': 35, '2024-03': 11, '2024-04': 14, '2024-05': 15, '2024-06': 0}","{'commits': 29, 'pull_requests': 10, 'issues': 0, 'reviews': 0}"
igorpenhaa,245,16,Java,"{'2023-06': 68, '2023-07': 73, '2023-08': 1, '2023-09': 61, '2023-10': 14, '2023-11': 13, '2023-12': 13, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 0, '2024-05': 1, '2024-06': 0}","{'commits': 170, 'pull_requests': 41, 'issues': 18, 'reviews': 6}"
Drafteed,186,27,JavaScript,"{'2023-06': 12, '2023-07': 7, '2023-08': 29, '2023-09': 3, '2023-10': 10, '2023-11': 10, '2023-12': 48, '2024-01': 23, '2024-02': 13, '2024-03': 8, '2024-04': 4, '2024-05': 19, '2024-06': 0}","{'commits': 38, 'pull_requests': 20, 'issues': 5, 'reviews': 33}"
AustinBrunkhorst,203,33,JavaScript,"{'2023-06': 1, '2023-07': 3, '2023-08': 13, '2023-09': 16, '2023-10': 3, '2023-11': 13, '2023-12': 15, '2024-01': 47, '2024-02': 16, '2024-03': 38, '2024-04': 23, '2024-05': 15, '2024-06': 0}","{'commits': 17, 'pull_requests': 8, 'issues': 0, 'reviews': 2}"
IanLucca12,54,10,Python,"{'2023-06': 8, '2023-07': 23, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 6, '2024-04': 6, '2024-05': 11, '2024-06': 0}","{'commits': 39, 'pull_requests': 11, 'issues': 0, 'reviews': 1}"
victordsantoss,986,57,JavaScript,"{'2023-06': 255, '2023-07': 215, '2023-08': 43, '2023-09': 75, '2023-10': 56, '2023-11': 48, '2023-12': 58, '2024-01': 142, '2024-02': 71, '2024-03': 14, '2024-04': 6, '2024-05': 3, '2024-06': 0}","{'commits': 307, 'pull_requests': 24, 'issues': 4, 'reviews': 9}"
daniel-de-sousa,154,12,C,"{'2023-06': 53, '2023-07': 25, '2023-08': 22, '2023-09': 7, '2023-10': 7, '2023-11': 17, '2023-12': 5, '2024-01': 0, '2024-02': 0, '2024-03': 2, '2024-04': 9, '2024-05': 7, '2024-06': 0}","{'commits': 45, 'pull_requests': 14, 'issues': 3, 'reviews': 1}"
bot-do-jao,211,30,JavaScript,"{'2023-06': 104, '2023-07': 31, '2023-08': 16, '2023-09': 10, '2023-10': 3, '2023-11': 7, '2023-12': 0, '2024-01': 4, '2024-02': 13, '2024-03': 8, '2024-04': 8, '2024-05': 7, '2024-06': 0}","{'commits': 131, 'pull_requests': 9, 'issues': 18, 'reviews': 6}"
eMerzh,718,73,JavaScript,"{'2023-06': 36, '2023-07': 39, '2023-08': 37, '2023-09': 83, '2023-10': 40, '2023-11': 40, '2023-12': 40, '2024-01': 49, '2024-02': 133, '2024-03': 116, '2024-04': 51, '2024-05': 53, '2024-06': 1}","{'commits': 543, 'pull_requests': 78, 'issues': 36, 'reviews': 40}"
pnbruckner,326,15,Python,"{'2023-06': 2, '2023-07': 12, '2023-08': 9, '2023-09': 0, '2023-10': 7, '2023-11': 9, '2023-12': 82, '2024-01': 50, '2024-02': 76, '2024-03': 37, '2024-04': 23, '2024-05': 19, '2024-06': 0}","{'commits': 238, 'pull_requests': 64, 'issues': 20, 'reviews': 1}"
sabrinaberno,147,24,JavaScript,"{'2023-06': 53, '2023-07': 52, '2023-08': 2, '2023-09': 2, '2023-10': 8, '2023-11': 1, '2023-12': 2, '2024-01': 0, '2024-02': 0, '2024-03': 10, '2024-04': 12, '2024-05': 5, '2024-06': 0}","{'commits': 98, 'pull_requests': 7, 'issues': 22, 'reviews': 0}"
HenriqueAmorim20,536,61,JavaScript,"{'2023-06': 0, '2023-07': 1, '2023-08': 0, '2023-09': 19, '2023-10': 241, '2023-11': 113, '2023-12': 105, '2024-01': 5, '2024-02': 0, '2024-03': 6, '2024-04': 41, '2024-05': 5, '2024-06': 0}","{'commits': 371, 'pull_requests': 57, 'issues': 12, 'reviews': 13}"
liversonp,88,43,TypeScript,"{'2023-06': 78, '2023-07': 10, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 52, 'pull_requests': 2, 'issues': 28, 'reviews': 5}"
raquel-andrade,53,10,Java,"{'2023-06': 11, '2023-07': 40, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 1, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 1, '2024-06': 0}","{'commits': 48, 'pull_requests': 2, 'issues': 1, 'reviews': 0}"
G16C,115,9,Java,"{'2023-06': 66, '2023-07': 34, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 14, '2024-05': 1, '2024-06': 0}","{'commits': 95, 'pull_requests': 12, 'issues': 0, 'reviews': 7}"
rafa-kenji,39,3,Python,"{'2023-06': 14, '2023-07': 20, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 2, '2024-05': 3, '2024-06': 0}","{'commits': 37, 'pull_requests': 2, 'issues': 0, 'reviews': 0}"
ThornColli,35,7,C,"{'2023-06': 0, '2023-07': 0, '2023-08': 4, '2023-09': 12, '2023-10': 2, '2023-11': 17, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 29, 'pull_requests': 4, 'issues': 0, 'reviews': 0}"
alvesitalo,0,49,JavaScript,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
ailamaralves,1,45,JavaScript,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 1, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 1, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
brbsg,75,52,JavaScript,"{'2023-06': 24, '2023-07': 11, '2023-08': 1, '2023-09': 12, '2023-10': 1, '2023-11': 7, '2023-12': 3, '2024-01': 1, '2024-02': 0, '2024-03': 7, '2024-04': 2, '2024-05': 6, '2024-06': 0}","{'commits': 31, 'pull_requests': 4, 'issues': 1, 'reviews': 1}"
JoelSRangel,157,7,JavaScript,"{'2023-06': 23, '2023-07': 33, '2023-08': 0, '2023-09': 9, '2023-10': 35, '2023-11': 32, '2023-12': 23, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 2, '2024-05': 0, '2024-06': 0}","{'commits': 112, 'pull_requests': 27, 'issues': 15, 'reviews': 1}"
lipeaaraujo,536,21,JavaScript,"{'2023-06': 30, '2023-07': 13, '2023-08': 0, '2023-09': 21, '2023-10': 25, '2023-11': 93, '2023-12': 207, '2024-01': 43, '2024-02': 33, '2024-03': 0, '2024-04': 10, '2024-05': 56, '2024-06': 5}","{'commits': 412, 'pull_requests': 24, 'issues': 14, 'reviews': 6}"
kaua-pt,439,35,Python,"{'2023-06': 143, '2023-07': 42, '2023-08': 23, '2023-09': 86, '2023-10': 47, '2023-11': 55, '2023-12': 10, '2024-01': 8, '2024-02': 0, '2024-03': 7, '2024-04': 16, '2024-05': 2, '2024-06': 0}","{'commits': 364, 'pull_requests': 28, 'issues': 26, 'reviews': 11}"
cansancaojennifer,241,11,Python,"{'2023-06': 7, '2023-07': 33, '2023-08': 42, '2023-09': 1, '2023-10': 33, '2023-11': 55, '2023-12': 68, '2024-01': 2, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 218, 'pull_requests': 8, 'issues': 1, 'reviews': 0}"
